James Hunt,1882,Forward,3,1,1,1,0,NA,Preston,United Kingdom,England,North West England,Lancashire,(guess: regd Q1),Longton,England
Bernard Middleton,1882,Forward,2,1,0,1,0,NA,Whitehaven,United Kingdom,England,North West England,Cumbria,December 25,1858,England
Aubrey Spurling,1882,Forward,1,0,0,1,0,NA,Camberwell,United Kingdom,England,Greater London,London,July 19,1856,England
Philip Newton,1882,Forward,1,0,1,0,0,NA,Brentford,United Kingdom,England,Greater London,London,April 11,1860,England
John Payne,1882,Halfback,7,6,1,0,0,NA,Lancs,United Kingdom,S6 3TB,England,Yorkshire and the Humber,March 19,1858,England
William Tatham,1882,Forward,7,6,1,0,1,NA,Walsingham,United Kingdom,England,East of England,Norfolk,July 30,1862,England
Arthur Evanson,1882,Three-quarters,4,4,0,0,0,NA,nr.Usk,g,n,i,s,September 15,1859,England
Robert Henderson,1882,Forward,5,5,0,0,1,NA,Calcutta,India,West Bengal,Kolkata,Missing,December 11,1858,England
Richard Kindersley,1882,Forward,3,3,0,0,2,NA,Devon,United Kingdom,England,South West England,Devon,September 27,1858,England
Alan Rotherham,1882,Halfback,12,8,1,3,2,NA,Coventry,United Kingdom,England,West Midlands,Coventry,July 31,1862,England
Graham Standing,1882,Forward,2,2,0,0,0,NA,Clapham,United Kingdom,England,Greater London,London,December 20,1860,England
Arthur Taylor,1882,Fullback,4,4,0,0,0,NA,Greenwich,United Kingdom,England,East of England,Suffolk,December 7,1859,England
Gregory Wade,1882,Three-quarters,8,8,0,0,7,NA,NSW,Australia,New South Wales,Missing,Missing,January 26,1863,England
Charles Wooldridge,1882,Forward,7,7,0,0,0,NA,Winchester,United States of America,Virginia,Winchester City,Winchester,December 31,1858,England
Edward Moore,1883,Forward,2,2,0,0,0,NA,Dudley,United Kingdom,England,West Midlands,Dudley,May 25,1862,England
Richard Pattisson,1883,Forward,2,2,0,0,0,NA,Tonbridge,United Kingdom,England,South East,Kent,August 5,1860,England
Henry Tristram,1883,Fullback,5,4,0,1,0,NA,Durham,United Kingdom,England,North East England,County Durham,September 5,1861,England
Charles Chapman,1884,Three-quarters,1,1,0,0,0,NA,Lincs,United Kingdom,Wales,Carmarthenshire,Pembrey,August 26,1860,England
Charles Marriott,1884,Forward,7,5,1,1,0,NA,Suffolk,United Kingdom,England,East of England,Suffolk,July 15,1861,England
Edward Strong,1884,Forward,3,3,0,0,0,NA,Axbridge,United Kingdom,BS26 2,England,South West England,December 1861,Axbridge,England
Henry Bell,1884,Forward,1,1,0,0,0,NA,Liverpool,United Kingdom,England,North West England,Liverpool,(guess: regd Q1),Liverpool,England
Herbert Fallas,1884,Three-quarters,1,1,0,0,0,NA,Wakefield,United Kingdom,England,Yorkshire and the Humber,Wakefield,November 1,1861,England
Charles Sample,1884,Fullback,3,2,0,1,0,NA,Castle Ward,United Kingdom,England,East of England,Cambridgeshire,November 22,1862,England
Alfred Teggin,1884,Forward,6,3,1,2,1,NA,Manchester,United Kingdom,England,North West England,Greater Manchester,October 22,1860,England
Henry Wigglesworth,1884,Three-quarters,1,1,0,0,0,NA,Doncaster,United Kingdom,England,Yorkshire and the Humber,Doncaster,(guess: regd Q3),Doncaster,England
Albert Wood,1884,Forward,1,1,0,0,0,NA,date unknown,g,n,i,s,date unknown,,England
Edward Court,1885,Forward,1,1,0,0,0,NA,Northwich,United Kingdom,England,North West England,Cheshire West and Chester,June 22,1862,England
