"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Alberto Vernet Basualdo","Argentina",2004,12,9,3,0,0,0,"Buenos Aires","ARG","June 8","1982"
"Miguel Avramovic","Argentina",2005,11,6,5,0,4,20,"Buenos Aires","ARG","July 18","1981"
"Juan Manuel Leguizamon","Argentina",2005,59,25,34,0,10,50,"Santiago del Estero","ARG","June 6","1983"
"Agustin Creevy","Argentina",2005,36,11,25,0,0,0,"La Plata","ARG","March 15","1985"
"Horacio Agulla","Argentina",2005,58,22,35,1,5,25,"Buenos Aires","ARG","October 22","1984"
"Jaime Arocena Mesones","Argentina",2005,1,0,1,0,0,0,"","","June 15","1978"
"Agustin Costa Repetto","Argentina",2005,1,0,1,0,0,0,"Buenos Aires","ARG","December 21","1982"
"Gaston de Robertis","Argentina",2005,4,3,1,0,0,0,"Buenos Aires","ARG","May 12","1980"
"Matias Cortese","Argentina",2005,15,7,8,0,1,5,"Mendoza","ARG","October 1","1985"
"Sebastien Rondinelli","Argentina",2005,1,0,1,0,0,0,"La Plata","ARG","August 22","1975"
"Nicolas Vergallo","Argentina",2005,33,13,19,1,0,0,"Rosario","ARG","August 20","1983"
"Rafael Carballo","Argentina",2006,8,5,3,0,3,15,"Buenos Aires","ARG","October 16","1981"
"Pablo Gambarini","Argentina",2006,8,8,0,0,1,5,"Tucuman","ARG","May 5","1980"
"Esteban Lozada","Argentina",2006,22,12,10,0,0,0,"Ottignies","BRU","January 8","1982"
"Juan Gomez","Argentina",2006,6,4,2,0,0,0,"Buenos Aires","ARG","March 27","1984"
"Tomas de Vedia","Argentina",2007,3,3,0,0,0,0,"Buenos Aires","ARG","May 31","1982"
"Genaro Fessia","Argentina",2007,13,9,4,0,2,10,"Cordoba","ARG","July 22","1981"
"Marcelo Bosch","Argentina",2007,33,6,26,1,4,45,"Buenos Aires","ARG","January 7","1984"
"Alejandro Abadie","Argentina",2007,5,3,2,0,1,5,"San Fernando","Philippines","April 13","1985"
"Federico Amelong","Argentina",2007,2,2,0,0,1,5,"Rosario","ARG","January 10","1985"
"Felipe Aranguren","Argentina",2007,6,6,0,0,1,5,"Buenos Aires","ARG","June 5","1983"
"Gabriel Ascarate","Argentina",2007,16,10,6,0,4,20,"San Miguel de Tucuma","ARG","October 20","1987"
"Gonzalo Begino","Argentina",2007,1,1,0,0,0,0,"","ARG","July 24","1976"
"Agustin Guzman","Argentina",2007,5,5,0,0,1,5,"San Miguel de Tucuma","ARG","January 26","1984"
"Francisco Merello","Argentina",2007,5,5,0,0,6,30,"Buenos Aires","ARG","December 21","1983"
"Ignacio Mieres","Argentina",2007,6,6,0,0,2,32,"Buenos Aires","ARG","April 6","1987"
"Sebastian Ponce","Argentina",2007,1,1,0,0,2,10,"","","date unknown",""
"James Stuart","Argentina",2007,3,1,2,0,0,0,"Buenos Aires","ARG","May 27","1981"
"Ben Urdapilleta","Argentina",2007,10,6,4,0,2,40,"Buenos Aires","ARG","March 11","1986"
"Francisco Albarracin","Argentina",2007,3,3,0,0,1,5,"La Plata","ARG","March 10","1985"
"Alejandro Campos","Argentina",2007,15,7,8,0,1,5,"Buenos Aires","ARG","April 21","1983"
"Bruno Fabricio Cuezzo","Argentina",2007,1,1,0,0,0,0,"","","February 10","1976"
"Ramiro del Busto","Argentina",2007,1,1,0,0,1,5,"Buenos Aires","ARG","June 6","1980"
"Lucas Gonzalez Amorosino","Argentina",2007,40,13,26,1,7,35,"Buenos Aires","ARG","November 2","1985"
"Tomas Roan","Argentina",2007,2,2,0,0,0,0,"La Plata","ARG","November 5","1986"
"Federico Rodriguez","Argentina",2007,1,1,0,0,0,0,"","","date unknown",""
"Lucas Barrera Oro","Argentina",2008,3,3,0,0,0,0,"Tucuman","ARG","July 16","1981"
"Felipe Bettolli","Argentina",2008,3,3,0,0,0,0,"Cordoba","ARG","November 21","1983"
"Gonzalo Camacho","Argentina",2008,23,7,15,1,6,30,"Buenos Aires","ARG","August 28","1984"
"Mauro Comuzzi","Argentina",2008,5,3,2,0,0,0,"Buenos Aires","ARG","July 12","1983"
"Juan Ignacio Gauthier","Argentina",2008,2,2,0,0,3,15,"Buenos Aires","ARG","March 3","1982"
"Francisco Gomez Kodela","Argentina",2008,11,6,5,0,1,5,"Buenos Aires","ARG","July 3","1985"
"Juan Pablo Lagarrigue","Argentina",2008,2,2,0,0,0,0,"Tucuman","ARG","December 9","1980"
"Rodrigo Maria","Argentina",2008,1,1,0,0,2,10,"","","date unknown",""
"Leonardo Senatore","Argentina",2008,29,11,17,1,3,15,"Rosario","ARG","May 13","1984"
"Carlos Caceres","Argentina",2008,4,4,0,0,0,0,"Tucuman","ARG","April 4","1983"
"Ariel Hevia","Argentina",2008,1,1,0,0,0,0,"Buenos Aires","ARG","January 21","1983"
"Roman Miralles","Argentina",2008,5,5,0,0,3,15,"Rosario","ARG","August 1","1983"
"Alvaro Tejeda","Argentina",2008,3,1,2,0,1,5,"San Miguel de Tucuma","ARG","June 6","1977"
"Pedro Ledesma Arocena","Argentina",2008,2,0,2,0,0,0,"Buenos Aires","ARG","July 2","1985"
"Alfredo Lalanne","Argentina",2008,10,4,6,0,0,0,"Buenos Aires","ARG","March 3","1983"
"Martin Bustos Moyano","Argentina",2008,4,2,2,0,0,43,"Cordoba","ARG","July 12","1985"
"Miguel de Achaval","Argentina",2008,5,4,1,0,1,5,"Buenos Aires","ARG","May 8","1982"
"Juan-Pablo Estelles","Argentina",2008,1,1,0,0,0,0,"Rosario","ARG","May 5","1988"
"Tomas Leonardi","Argentina",2008,18,6,11,1,4,20,"Buenos Aires","ARG","July 1","1987"
"Agustin Smidt","Argentina",2008,3,3,0,0,2,10,"Cordoba","ARG","May 10","1985"
"Esteban Bustillo","Argentina",2008,1,1,0,0,0,0,"Buenos Aires","ARG","June 27","1988"
"Mauricio Guidone","Argentina",2008,10,8,2,0,1,5,"La Plata","ARG","January 28","1988"
"Martin Landajo","Argentina",2008,42,16,25,1,3,15,"Buenos Aires","ARG","June 14","1988"
"Ignacio Pasman","Argentina",2008,2,2,0,0,0,0,"Buenos Aires","ARG","August 9","1988"
"Juan Pablo Orlandi","Argentina",2008,15,2,13,0,0,0,"Mendoza","ARG","June 20","1983"
"Santiago Fernandez","Argentina",2008,32,8,23,1,1,8,"Buenos Aires","ARG","November 28","1985"
"Agustin Figuerola","Argentina",2008,7,2,5,0,0,0,"Buenos Aires","ARG","January 27","1985"
"Belisario Agulla","Argentina",2009,11,9,2,0,7,35,"Buenos Aires","ARG","May 20","1988"
"Lucas Alcacer Mackinlay","Argentina",2009,2,2,0,0,0,0,"Buenos Aires","ARG","October 28","1988"
"Rodrigo Bruno","Argentina",2009,7,7,0,0,3,15,"Cordoba","ARG","May 15","1987"
"Pedro Garzon","Argentina",2009,2,2,0,0,1,5,"Cordoba","ARG","May 10","1982"
"Santiago Gonzalez Iglesias","Argentina",2009,14,7,7,0,4,91,"Buenos Aires","ARG","June 16","1988"
"Juan Imhoff","Argentina",2009,26,9,17,0,13,65,"Rosario","ARG","May 11","1988"
"Benjamin Macome","Argentina",2009,21,10,11,0,2,10,"Tucuman","ARG","January 10","1986"
"Matias Narvaez","Argentina",2009,2,2,0,0,0,0,"Cordoba","ARG","March 22","1981"
"Santiago Piccaluga","Argentina",2009,2,2,0,0,0,0,"Buenos Aires","ARG","September 5","1984"
"Guillermo Roan","Argentina",2009,7,5,2,0,0,0,"La Plata","ARG","June 18","1988"
"Facundo Vega","Argentina",2009,2,2,0,0,1,9,"","","date unknown",""
"Francisco Cubelli","Argentina",2009,2,2,0,0,0,0,"","","date unknown",""
"Ignacio di Santi","Argentina",2009,2,2,0,0,0,0,"","","February 23","1988"
"Paolo Mac","Argentina",2009,1,1,0,0,1,5,"","","October 28","1988"
"Federico Merlo","Argentina",2009,1,1,0,0,1,5,"","","date unknown",""
"Gabriel Pata Curello","Argentina",2009,2,2,0,0,1,5,"","","date unknown",""
"Martin Rodriguez Gurruchage","Argentina",2009,19,6,12,1,2,72,"Rosario","ARG","April 12","1985"
"Horacio San Martin","Argentina",2009,2,1,1,0,0,0,"Formosa","ARG","February 15","1982"
"Leandro Pereyra","Argentina",2010,2,2,0,0,0,0,"","","date unknown",""
"Matias Viazzo","Argentina",2010,2,2,0,0,1,5,"","ARG","March 6","1983"
"Tomas Cubelli","Argentina",2010,34,15,19,0,8,40,"Buenos Aires","ARG","June 12","1989"
"Marcos Lobato","Argentina",2010,2,2,0,0,0,0,"Cordoba","ARG","March 2","1984"
"Ramiro Pacheco","Argentina",2010,2,2,0,0,0,0,"Rosario","ARG","June 22","1986"
"Luciano Proto","Argentina",2010,2,2,0,0,0,0,"Tucuman","ARG","January 3","1989"
"Nicolas Sanchez","Argentina",2010,30,9,20,1,2,230,"San Miguel de Tucuma","ARG","October 26","1988"
"Rodrigo Baez","Argentina",2010,16,7,9,0,2,10,"Mendoza","ARG","February 8","1989"
"Nahuel Tetaz Chaparro","Argentina",2010,16,8,8,0,1,5,"General Madariaga","ARG","November 6","1989"
"Mariano Galarza","Argentina",2010,24,7,17,0,0,0,"Veinticinco de Mayo","ARG","November 12","1986"
"Santiago Guzman","Argentina",2010,6,4,2,0,0,0,"San Miguel de Tucuma","ARG","January 11","1989"
"Juan Figallo","Argentina",2010,22,6,15,1,1,5,"Salta","ARG","March 25","1988"
"Julio Farias Cabello","Argentina",2010,30,6,23,1,2,10,"San Miguel de Tucuma","ARG","September 19","1978"
"Jose Basile","Argentina",2011,2,2,0,0,1,5,"Cordoba","ARG","February 13","1982"
"Santiago Bottini","Argentina",2011,2,2,0,0,0,0,"Buenos Aires","ARG","September 14","1984"
"Tomas de la Vega","Argentina",2011,12,5,7,0,2,10,"Buenos Aires","ARG","September 28","1990"
"Tomas Rosati","Argentina",2011,2,2,0,0,0,0,"Buenos Aires","ARG","December 7","1989"
"Hugo Schierano","Argentina",2011,2,2,0,0,0,0,"","","July 5","1985"
"Roberto Tejerizo","Argentina",2011,4,4,0,0,0,0,"San Miguel de Tucuma","ARG","April 15","1988"
"Federico Alloggio","Argentina",2011,2,2,0,0,0,0,"Rosario","ARG","June 3","1988"
"Nicolas Centurion","Argentina",2011,2,2,0,0,1,5,"","","November 17","1989"
"Gaston Cortes","Argentina",2011,4,4,0,0,0,0,"Cordoba","ARG","October 6","1985"
"Benjamin Madero","Argentina",2011,4,3,1,0,1,29,"Buenos Aires","ARG","June 18","1988"
"Martin Maineri","Argentina",2011,2,2,0,0,0,0,"","","date unknown",""
"Ramiro Moyano Joya","Argentina",2011,6,6,0,0,7,35,"Tucuman","ARG","May 28","1990"
"Fernando Luna","Argentina",2011,1,1,0,0,3,15,"","","May 12","1990"
"Walter Weiss","Argentina",2011,1,1,0,0,2,10,"","ARG","April 17","1987"
"Tomas Baravalle","Argentina",2011,1,1,0,0,0,0,"Rosario","ARG","December 14","1990"
"Agustin Gosio","Argentina",2011,3,2,1,0,1,5,"Buenos Aires","ARG","March 17","1983"
"Tomas Vallejos Cinalli","Argentina",2011,6,3,3,0,0,0,"Rosario","ARG","October 16","1984"
"Lisandro Ahualli de Chazal","Argentina",2012,6,6,0,0,1,5,"San Miguel de Tucuma","ARG","December 29","1988"
"Valentin Cruz Hernestrosa","Argentina",2012,3,3,0,0,0,32,"Adrogu_, Buenos Aires","ARG","October 20","1990"
"Martin Garcia Veiga","Argentina",2012,6,4,2,0,1,5,"Buenos Aires","ARG","June 20","1986"
"Manuel Montero","Argentina",2012,21,9,12,0,14,70,"Adrogue","ARG","November 20","1991"
"Matias Orlando","Argentina",2012,10,6,4,0,2,10,"Tucuman","ARG","November 14","1991"
"Javier Ortega Desio","Argentina",2012,14,10,4,0,5,25,"Parana","ARG","June 14","1990"
"Diego Palma","Argentina",2012,2,2,0,0,0,0,"Buenos Aires","ARG","March 26","1988"
"Javier Rojas Alvarez","Argentina",2012,5,5,0,0,1,5,"Tucuman","ARG","April 15","1991"
"Stefano Ambrosio","Argentina",2012,2,2,0,0,0,18,"Cordoba","ARG","June 15","1987"
"Nicolas Azorin","Argentina",2012,2,2,0,0,0,0,"Mar del Plata","ARG","April 16","1987"
"Facundo Barrea","Argentina",2012,4,3,1,0,8,40,"Cordoba","ARG","March 10","1989"
"Cesar Fruttero","Argentina",2012,5,5,0,0,1,5,"Villa Maria","ARG","January 3","1991"
"Bruno Postiglioni","Argentina",2012,18,12,6,0,1,5,"La Plata","ARG","April 8","1987"
"Ignacio Saenz Lancuba","Argentina",2012,5,5,0,0,0,0,"Buenos Aires","ARG","December 11","1991"
"German Araoz","Argentina",2012,2,2,0,0,0,0,"San Miguel de Tucuma","ARG","July 4","1985"
"Santiago Craig","Argentina",2012,2,2,0,0,3,15,"Buenos Aires","ARG","February 21","1987"
"Joaquin Tuculet","Argentina",2012,20,8,12,0,6,30,"La Plata","ARG","August 8","1989"
"Andres Bordoy","Argentina",2012,2,1,1,0,0,0,"Rosario","ARG","December 30","1982"
"Nahuel Lobo","Argentina",2012,10,1,9,0,0,0,"Chajari","ARG","August 27","1991"
"Maximiliano Bustos","Argentina",2012,7,2,5,0,0,0,"Santa Fe","USA","April 2","1976"
"Juan Cappiello","Argentina",2013,3,3,0,0,1,5,"Buenos Aires","ARG","March 4","1992"
"Tomas Carrio","Argentina",2013,6,6,0,0,3,15,"Chaco","ARG","March 10","1989"
"Matias Diaz","Argentina",2013,9,4,5,0,0,0,"Mendoza","ARG","March 16","1993"
"Dan Isaack","Argentina",2013,2,2,0,0,4,20,"Rosario","ARG","April 30","1990"
"Fidel Lamy","Argentina",2013,3,3,0,0,0,0,"Mendoza","ARG","November 30","1988"
"Tomas Lavanini","Argentina",2013,18,8,10,0,1,5,"Buenos Aires","ARG","January 22","1993"
"Santiago Mendez Angelillo","Argentina",2013,3,3,0,0,1,5,"Buenos Aires","ARG","October 10","1990"
"Francisco Panessi","Argentina",2013,2,2,0,0,0,0,"Villa la Angostura","ARG","March 17","1988"
"Joaquin Paz","Argentina",2013,3,3,0,0,2,10,"Cordoba","ARG","October 20","1993"
"Sebastian Poet","Argentina",2013,3,3,0,0,4,34,"Rosario","ARG","October 20","1992"
"Santiago Rocchia","Argentina",2013,3,3,0,0,1,5,"Tucuman","ARG","June 20","1989"
"German Schulz","Argentina",2013,2,2,0,0,1,5,"Cordoba","ARG","February 5","1994"
"Santiago Alvarez","Argentina",2013,3,3,0,0,2,10,"Bahia Blanca","ARG","February 17","1994"
"Tomas Borghi","Argentina",2013,3,3,0,0,1,5,"Buenos Aires","ARG","December 19","1989"
"Martin Chiappesoni","Argentina",2013,3,3,0,0,3,15,"Parana","ARG","July 30","1990"
"Tomas Gilardon","Argentina",2013,3,3,0,0,0,0,"Buenos Aires","ARG","October 18","1989"
"Santiago Iglesias Valdez","Argentina",2013,10,6,4,0,1,5,"Tucuman","ARG","May 26","1993"
"Pedro Imhoff","Argentina",2013,3,3,0,0,2,10,"Rosario","ARG","May 1","1989"
"Patricio Fernandez Fiant","Argentina",2013,2,2,0,0,2,38,"Rosario","ARG","October 11","1994"
"Santiago Garcia Botta","Argentina",2013,4,4,0,0,1,5,"Buenos Aires","ARG","June 19","1992"
"Pablo Matera","Argentina",2013,14,4,10,0,2,10,"Buenos Aires","ARG","July 18","1993"
"Joaquin Paz","Argentina",2013,2,2,0,0,1,5,"Buenos Aires","ARG","April 22","1991"
"Macario Villaluenga","Argentina",2013,2,2,0,0,2,10,"Tucuman","ARG","May 12","1990"
"Gonzalo Manso","Argentina",2013,2,2,0,0,0,0,"Tucuman","ARG","May 4","1990"
"Santiago Cordero","Argentina",2013,9,5,4,0,3,15,"Buenos Aires","ARG","December 6","1993"
"Antonio Ahualli de Chazal","Argentina",2014,4,2,2,0,1,5,"Tucuman","ARG","September 6","1987"
"Matias Alemanno","Argentina",2014,11,3,8,0,1,5,"Cordoba","ARG","December 5","1991"
"Jeronimo de la Fuente","Argentina",2014,11,6,5,0,4,20,"Rosario","ARG","February 24","1991"
"Lucas Noguera Paz","Argentina",2014,13,6,7,0,1,5,"Tucuman","ARG","May 10","1993"
"Lucas Ponce","Argentina",2014,5,4,1,0,1,5,"Buenos Aires","ARG","September 3","1990"
"Felipe Ezcurra","Argentina",2014,2,2,0,0,0,0,"Buenos Aires","ARG","April 15","1993"
"Julian Montoya","Argentina",2014,6,4,2,0,2,10,"Buenos Aires","ARG","October 29","1993"
"Lucas Maguire","Argentina",2014,1,1,0,0,0,0,"Buenos Aires","ARG","January 26","1991"
"Ramiro Herrera","Argentina",2014,11,3,8,0,0,0,"Comodoro Rivadavia","ARG","February 14","1989"
"Matias Moroni","Argentina",2014,2,1,1,0,0,0,"Buenos Aires","ARG","March 29","1991"
"Juan Cruz Guillemain","Argentina",2014,1,0,1,0,0,0,"San Juan","ARG","August 21","1992"
"Facundo Isa","Argentina",2014,5,4,1,0,1,5,"Santiago del Estero","ARG","September 21","1993"
"Guido Petti Pagadizaval","Argentina",2014,4,4,0,0,0,0,"Buenos Aires","ARG","November 17","1994"
"Tomas Lezana","Argentina",2014,3,3,0,0,1,5,"Santiago del Estero","ARG","February 16","1994"
"Geronimo Albertario","Argentina",2015,2,2,0,0,0,0,"Buenos Aires","ARG","November 24","1987"
"Gregorio del Prete","Argentina",2015,1,1,0,0,0,0,"Mar del Plata","ARG","March 24","1995"
"Juan Leon Novillo","Argentina",2015,2,2,0,0,1,17,"Tucum_n","ARG","June 8","1992"
"Gonzalo Bertranou","Argentina",2015,1,1,0,0,0,0,"Mendoza","ARG","December 31","1993"
"Manuel Plaza","Argentina",2015,1,1,0,0,0,0,"Salta","ARG","January 4","1996"
"Enrico Allevi","Italy",1929,2,1,1,0,0,0,"","","date unknown",""
"Tommaso Altissimi","Italy",1929,1,0,1,0,0,0,"","","date unknown",""
"Aldo Balducci","Italy",1929,1,0,1,0,0,0,"","","date unknown",""
"Vittorio Barzaghi","Italy",1929,3,2,1,0,0,0,"","","date unknown",""
"Ottavio Bottonelli","Italy",1929,6,2,4,0,0,3,"Firenze","ITA","circa 1911","Firenze"
"Luigi Bricchi","Italy",1929,3,2,1,0,0,0,"VA","Civitatis Vaticanæ","December 14","1904"
"Lucio Cesani","Italy",1929,4,2,2,0,0,0,"","","date unknown",""
"Domenico Dondana","Italy",1929,2,1,1,0,0,0,"","","date unknown",""
"Giovanni Dora","Italy",1929,1,0,1,0,0,0,"","","date unknown",""
"Alberto Modonesi","Italy",1929,1,0,1,0,0,0,"","","date unknown",""
"Piero Paselli","Italy",1929,3,2,1,0,0,0,"","","circa 1907",""
"Carlo Raffo","Italy",1929,6,4,1,1,0,0,"","","date unknown",""
"Paolo Vinci II","Italy",1929,3,2,1,0,1,3,"United States","USA","February 6","1908"
"Francesco Vinci III","Italy",1929,15,7,6,2,4,20,"United States","USA","May 2","1910"
"Pietro Vinci IV","Italy",1929,13,7,5,1,0,0,"Briey","FR","November 25","1912"
"Amando Nisti","Italy",1929,2,1,1,0,0,0,"Roma","ITA","August 6","1898"
"Giovanni Paolin","Italy",1929,1,0,1,0,0,0,"","","date unknown",""
"Eugenio Vinci I","Italy",1929,1,0,1,0,0,0,"Dominican","Philippines","January 15","1900"
"Giuseppe Bigi","Italy",1930,2,2,0,0,0,0,"","","circa 1910",""
"Alberto di Bello","Italy",1930,4,3,0,1,0,0,"","","circa 1905",""
"Angelo Morimondi","Italy",1930,4,3,0,1,0,0,"Milano","ITA","February 4","1902"
"Ernesto Nathan","Italy",1930,1,1,0,0,0,0,"","","date unknown",""
"Giuseppe Sessa","Italy",1930,1,1,0,0,0,0,"","","October 25","1895"
"Amerigo Centinari","Italy",1930,1,1,0,0,0,0,"","","date unknown",""
"Leandro Tagliabue","Italy",1930,7,4,2,1,0,0,"","","circa 1909",""
"Ivan Aloisio","Italy",1933,7,5,1,1,1,7,"Genova","ITA","December 26","1912"
"Aurelio Cazzini","Italy",1933,15,9,4,2,4,12,"MI","USA","March 26","1908"
"Felice Colombo","Italy",1933,1,1,0,0,0,0,"Milano","ITA","October 8","1905"
"Alberto Crespi","Italy",1933,6,4,1,1,0,0,"","","circa 1906",""
"Giuseppe Gattoni","Italy",1933,2,2,0,0,0,0,"","","circa 1908",""
"Renzo Maffioli","Italy",1933,11,7,2,2,2,10,"Milano","ITA","January 10","1908"
"Umberto Moretti","Italy",1933,7,5,1,1,0,0,"Milano","ITA","September 15","1912"
"Ferdinando Tozzi","Italy",1933,1,1,0,0,0,0,"Napoli","ITA","June 23","1911"
"Fernando Trebbi","Italy",1933,2,2,0,0,0,0,"Bologna","ITA","March 24","1909"
"Riccardo Aymonod","Italy",1933,4,2,1,1,2,6,"","","circa 1908",""
"Giogio Bortolini","Italy",1933,2,1,0,1,0,0,"BO","Bolivia","July 6","1910"
"Mario Campagna","Italy",1933,8,3,3,2,1,3,"Milano","ITA","September 8","1910"
"Arrigo Marescalchi","Italy",1933,3,1,1,1,1,3,"","","date unknown",""
"Eraldo Sgorbati","Italy",1933,12,5,6,1,0,0,"Novi Piemonte","ITA","May 26","1911"
"Ariosto Agosti","Italy",1933,1,1,0,0,0,0,"PV","България","February 21","1909"
"Luigi Brighetti","Italy",1934,1,0,0,1,0,0,"","","circa 1910",""
"Gastone de Angelis","Italy",1934,5,2,1,2,0,0,"Lecce","ITA","December 26","1913"
"Angelo Albonico","Italy",1934,10,4,5,1,0,0,"Turin","ITA","June 10","1912"
"Giuseppe Piana","Italy",1934,6,3,3,0,0,0,"","","circa 1912",""
"Giancarlo Zani","Italy",1934,1,1,0,0,0,0,"Milano","ITA","March 19","1909"
"Orlando Maestri","Italy",1935,3,1,2,0,0,0,"","","date unknown",""
"Giuseppe Visentin","Italy",1935,9,4,5,0,4,18,"Padova","ITA","April 23","1912"
"Carlo Carloni","Italy",1935,1,0,1,0,0,0,"","","date unknown",""
"Riccardo Centinari","Italy",1935,6,2,4,0,0,0,"PV","България","April 16","1910"
"Renato de Marchis","Italy",1935,1,0,1,0,0,0,"","","date unknown",""
"Filippo Caccia Dominioni","Italy",1935,2,0,2,0,0,0,"","","date unknown",""
"Giulio Rizzoli","Italy",1935,3,1,2,0,0,4,"","","date unknown",""
"Vincenzo Bertolotto","Italy",1936,6,2,3,1,0,0,"Turin","ITA","April 24","1912"
"Sandro Bonfante","Italy",1936,2,1,1,0,0,0,"","","date unknown",""
"Tommaso Fattori","Italy",1936,10,4,5,1,0,0,"Foligno","ITA","January 25","1909"
"Arturo re Garbagnati","Italy",1936,12,6,6,0,1,3,"Milano","ITA","December 11","1913"
"Guglielmo Zoffoli","Italy",1936,7,3,3,1,0,0,"","","date unknown",""
"Angelo Becca","Italy",1937,4,2,1,1,0,0,"","","date unknown",""
"Carlo d'Alessio","Italy",1937,5,1,3,1,2,6,"","","date unknown",""
"Renato Paciucci","Italy",1937,3,1,1,1,0,0,"","","date unknown",""
"Torriglio Carraro","Italy",1937,1,0,0,1,0,0,"PC","ITA","July 30","1911"
"Sandro Vigliano","Italy",1937,6,4,1,1,2,30,"Torino","ITA","July 26","1909"
"Renato Bevilacqua","Italy",1937,9,5,4,0,0,0,"Trieste","ITA","March 10","1915"
"Renzo Cova","Italy",1937,7,4,3,0,5,15,"","","date unknown",""
"Ugo Stenta","Italy",1937,9,5,4,0,1,3,"","","date unknown",""
"Giuseppe Testoni","Italy",1937,3,2,1,0,0,0,"","","date unknown",""
"Cesare Ghezzi","Italy",1938,5,2,3,0,0,0,"Milano","ITA","March 5","1909"
"Genesio Bonati","Italy",1939,2,1,1,0,0,0,"PR","Česko","July 15","1912"
"Lorenzo Clerici","Italy",1939,1,0,1,0,0,0,"Milano","ITA","October 17","1914"
"Orazio Bracaglia","Italy",1939,1,1,0,0,0,0,"","","date unknown",""
"Mario Dotti IV","Italy",1939,3,2,1,0,0,0,"","","date unknown",""
"Adolfo Francese","Italy",1939,2,1,1,0,0,0,"NO","Norge","August 27","1914"
"Mario Gorni","Italy",1939,3,2,1,0,0,0,"Mantova","ITA","January 29","1917"
"Ausonio Alacevich","Italy",1939,1,1,0,0,0,0,"Zara","Hrvatska","February 13","1910"
"Valerio Vagnetti","Italy",1939,2,1,1,0,0,0,"Roma","ITA","March 15","1915"
"Mario Battaglini","Italy",1940,5,3,2,0,1,18,"Rovigo","ITA","October 20","1919"
"Luigi Bossi","Italy",1940,2,1,1,0,0,0,"Lonate Pozzolo","ITA","September 20","1918"
"Arturo Costa","Italy",1940,3,2,1,0,1,3,"Tripoli","ليبيا","August 21","1918"
"Buby Farinelli","Italy",1940,5,2,3,0,0,0,"Milano","ITA","April 30","1917"
"Gianni Figari","Italy",1940,3,2,1,0,1,3,"","","date unknown",""
"Eros Cicognani","Italy",1940,1,1,0,0,0,0,"","","date unknown",""
"Ettore Parmiggiani","Italy",1942,2,2,0,0,0,4,"","","date unknown",""
"Guido Romano","Italy",1942,1,1,0,0,1,3,"","","date unknown",""
"Piero Romano","Italy",1942,1,1,0,0,0,0,"","","date unknown",""
"Enrico Zanetti","Italy",1942,1,1,0,0,0,0,"Venezia","ITA","October 20","1917"
"Giuseppe Sessi","Italy",1942,1,1,0,0,0,0,"RE","ITA","November 16","1913"
"Aldo Battagion","Italy",1948,2,1,1,0,0,2,"Bergamo","ITA","October 20","1922"
"Francesco Battaglini","Italy",1948,1,0,1,0,0,0,"Rovigo","ITA","March 14","1912"
"Vittorio Borsetto","Italy",1948,2,1,1,0,0,0,"","","date unknown","Canale di Villadose"
"Carlo de Vecchi","Italy",1948,1,0,1,0,0,0,"Milano","ITA","April 15","1927"
"Umberto Faccioli","Italy",1948,1,0,1,0,0,0,"","","date unknown",""
"Enrico Fava","Italy",1948,2,1,1,0,0,5,"","","circa 1917",""
"Renzo Maini","Italy",1948,2,1,1,0,0,0,"PR","Česko","August 12","1925"
"Italo Mattacchini","Italy",1948,9,4,5,0,0,0,"TE","‏ايران‎","February 18","1924"
"Giuseppe Molinari","Italy",1948,1,0,1,0,0,0,"","","date unknown",""
"Paolo Rosi","Italy",1948,12,6,6,0,7,21,"Roma","ITA","April 20","1924"
"Enrico Rossini","Italy",1948,6,3,3,0,2,6,"Roma","ITA","March 20","1925"
"Pietro Stievano","Italy",1948,8,4,4,0,2,6,"Piove di Sacco","ITA","January 6","1919"
"Temistocle Tedeschi","Italy",1948,1,0,1,0,0,0,"","","date unknown",""
"Vittorio Vicariotto","Italy",1948,1,0,1,0,0,0,"Vicenza","ITA","February 10","1919"
"Sergio Barilari","Italy",1948,3,3,0,0,0,0,"Roma","ITA","August 13","1924"
"Luciano Bove","Italy",1948,3,1,2,0,0,0,"","","date unknown",""
"Giovanni Favretto","Italy",1948,2,1,1,0,0,0,"","","date unknown",""
"Piero Gabrielli","Italy",1948,5,2,3,0,1,3,"Roma","ITA","June 28","1924"
"Primo Masci","Italy",1948,9,4,5,0,2,6,"Parma","ITA","November 1","1924"
"Fulvio Pitorri","Italy",1948,2,1,1,0,1,3,"","","date unknown",""
"Silvano Tartaglini","Italy",1948,8,4,4,0,0,0,"Roma","ITA","January 6","1923"
"Mario Pisaneschi","Italy",1948,12,7,5,0,1,6,"Parma","ITA","August 29","1923"
"Giovanni Bonino","Italy",1949,1,0,1,0,0,0,"","","date unknown",""
"Giogio Dagnini","Italy",1949,1,0,1,0,0,0,"","","date unknown",""
"Sergio Lanfranchi","Italy",1949,21,7,14,0,4,36,"Parma","ITA","September 27","1925"
"Piero Marini","Italy",1949,7,4,3,0,1,9,"Roma","ITA","July 29","1923"
"Umberto Silvestri","Italy",1949,2,0,2,0,0,0,"Roma","ITA","September 6","1915"
"Mario Turcato","Italy",1949,2,1,1,0,0,0,"RO","România","December 1","1920"
"Angelo Arrigoni","Italy",1949,1,0,1,0,0,0,"CR","Costa Rica","February 16","1923"
