"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"John Pinch","England",1896,3,2,1,0,0,0,"Lancaster","USA","December 2","1870"
"John Rhodes","England",1896,3,1,2,0,0,0,"Pontefract","ENG","(guess: regd Q3)","Pontefract"
"Anthony Starks","England",1896,2,1,1,0,0,0,"Castleford","ENG","August 11","1873"
"John Ward","England",1896,3,1,2,0,0,0,"Castleford","ENG","January 29","1873"
"Willie Whiteley","England",1896,1,1,0,0,0,0,"Yorks","ENG","May 31","1870"
"James Baron","England",1896,3,0,3,0,0,0,"Micklethwaite","ENG","August 28","1874"
"George Hughes","England",1896,1,0,1,0,0,0,"Yorks","ENG","February 24","1870"
"Edward Knowles","England",1896,2,1,1,0,0,0,"Waberthwaite, Cumbria","ENG","(guess: regd Q2)","Waberthwaite"
"Bob Poole","England",1896,1,0,1,0,0,0,"Hartlepool","ENG","November 4","1874"
"William Ashford","England",1897,4,1,2,1,0,0,"Devon","ENG","December 18","1871"
"Francis Byrne","England",1897,1,0,1,0,0,0,"Birmingham","ENG","(guess: regd Q2)","Aston"
"Percy Ebdon","England",1897,2,0,2,0,0,0,"Somerset","ENG","March 16","1874"
"Tom Fletcher","England",1897,1,0,1,0,0,0,"Cumberland","ENG","circa 1874","Seaton"
