Michael Egan,1893,Forward,2,0,2,0,0,0,?,g,n,i,s
Sam Gardiner,1893,Fullback,2,0,1,1,0,0,?,g,n,i,s
Robert Johnston,1893,Wing,5,3,2,0,0,0,Co Donegal,Republic of Ireland,Ulster,County Donegal,Missing
Harry Lindsay,1893,Forward,13,6,5,2,1,3,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Walter Brown,1893,Halfback,5,3,1,1,0,0,Co.Dublin,Republic of Ireland,Leinster,County Dublin,Missing
Herbert Forrest,1893,Forward,2,0,1,1,0,0,Co.Dublin,Republic of Ireland,Leinster,County Dublin,Missing
Lucius Gwynn,1893,Centre,7,4,2,1,0,0,Donegal,Republic of Ireland,County Donegal,Donegal,Missing
Bryan O'Brien,1893,Forward,2,0,1,1,0,0,Co.Limerick,Republic of Ireland,Munster,County Limerick,Missing
Robert Hamilton,1893,Forward,1,0,1,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
William Sparrow,1893,Fullback,2,1,1,0,0,0,Kilkenny,Republic of Ireland,Leinster,County Kilkenny,Kilkenny
Tom Crean,1894,Forward,13,8,4,1,3,9,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
James Lytle,1894,Forward,12,8,3,1,1,6,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
George Walmsley,1894,Forward,1,1,0,0,0,0,Co.Meath,Republic of Ireland,Leinster,County Meath,Missing
Andrew Bond,1894,Forward,2,2,0,0,0,0,?,g,n,i,s
Patrick Grant,1894,Fullback,2,2,0,0,0,0,Co.Dublin,Republic of Ireland,Leinster,County Dublin,Missing
Alfred Brunker,1895,Forward,2,0,2,0,0,0,Co.Dublin,Republic of Ireland,Leinster,County Dublin,Missing
Hugh McCoull,1895,Forward,4,1,3,0,0,0,Co.Down,United Kingdom,Northern Ireland,County Down,Missing
Louis Magee,1895,Halfback,31,14,15,2,2,9,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Joseph Magee,1895,Wing,2,0,2,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Thomas Stevenson,1895,Centre,7,3,3,1,1,3,Londonderry,United Kingdom,Northern Ireland,County Londonderry,Londonderry
Glascott Symes,1895,Fullback,1,0,1,0,0,0,Co.Mayo,Republic of Ireland,Connacht,County Mayo,Missing
John Fulton,1895,Fullback,16,6,10,0,0,0,?,g,n,i,s
Edward MacIlwaine,1895,Forward,2,0,2,0,0,0,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Alexander Montgomery,1895,Centre,1,0,1,0,0,0,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Jack O'Connor,1895,Wing,1,0,1,0,0,0,Limerick,Republic of Ireland,Munster,County Limerick,Limerick
William O'Sullivan,1895,Forward,1,0,1,0,0,0,?,g,n,i,s
Michael Delaney,1895,Halfback,1,0,1,0,0,0,?,g,n,i,s
Arthur Gwynn,1895,Wing,1,0,1,0,0,0,Donegal,Republic of Ireland,County Donegal,Donegal,Missing
Glyn Allen,1896,Halfback,9,6,2,1,1,3,Gibraltar,Gibraltar,Missing,Missing,Missing
Lawrence Bulger,1896,Wing,12,7,4,1,3,25,Co Clare,Republic of Ireland,Munster,County Clare,Missing
Bill Byron,1896,Forward,11,7,3,1,0,0,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
James Sealy,1896,Forward,13,8,3,2,2,6,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
George McAllan,1896,Fullback,2,1,0,1,0,0,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
John McIlwaine,1897,Forward,7,4,3,0,0,0,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
John Ryan,1897,Forward,14,6,7,1,1,3,?,g,n,i,s
Michael Ryan,1897,Forward,17,7,9,1,1,3,?,g,n,i,s
Pierce O'Brien-Butler,1897,Fullback,6,3,3,0,0,0,Co.Tipperary,Republic of Ireland,Munster,County Tipperary,Missing
John Davis,1898,Forward,2,1,1,0,0,0,Co.Carlow,Republic of Ireland,Leinster,County Carlow,Missing
James Franks,1898,Forward,3,1,2,0,0,0,Co.Dublin,Republic of Ireland,Leinster,County Dublin,Missing
Francis Purser,1898,Wing,3,1,2,0,0,0,1876,Россия,СКФО,Карачаево-Черкесия,Карачаевский район
Frederick Smithwick,1898,Centre,2,0,2,0,0,0,Kildare,Republic of Ireland,Leinster,County Kildare,Missing
Ainsworth Barr,1898,Halfback,4,2,2,0,0,0,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Thomas Little,1898,Forward,7,3,3,1,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Ned McCarthy,1898,Forward,1,0,1,0,0,0,Cork,Republic of Ireland,Munster,County Cork,Cork
Thomas Ahearne,1899,Forward,1,1,0,0,0,0,?,g,n,i,s
James Allison,1899,Centre,12,4,7,1,0,4,?,g,n,i,s
William Brown,1899,Wing,1,1,0,0,0,0,?,g,n,i,s
