Place,Name,Years,Tests,Matches,Number
"Lyttelton, New Zealand","Rhind, Patrick Keith",1946,2,0,459
"Normanby, New Zealand","Finlay, Jack",1946,1,0,455
"Prestonpans, Scotland","Haig, James Scott",1946,2,0,457
"Springhills, New Zealand","McRae, John Alexander",1946,2,0,464
"Wellington, New Zealand","Elliott, Kenneth George",1946,2,0,453
"Christchurch, New Zealand","Hobbs, Frederick George",1947,0,6,472
"Feilding, New Zealand","Arnold, Keith Dawson",1947,2,6,468
"Invercargill, New Zealand","Connolly, Leo Stephen",1947,0,5,480
"Kaikohe, New Zealand","Smith, Peter",1947,0,3,482
"Taupiri, New Zealand","Tetzlaff, Percy Laurence",1947,2,5,475
"Waikouaiti, New Zealand","Webster, Thomas Robert Dobson",1947,0,4,483
"Waipukurau, New Zealand","McCormick, James",1947,0,3,481
"Wellington, New Zealand","Mason, David Frank",1947,1,5,478
"Alexandra, New Zealand","Lunn, William Albert",1949,2,0,505
"Auckland, New Zealand","Christian, Desmond Lawrence",1949,1,10,497
"Auckland, New Zealand","Dobson, Ronald Leslie",1949,1,0,503
"Carterton, New Zealand","Blake, Alan Walter",1949,1,0,501
"Carterton, New Zealand","Bond, Jack Garth Parker",1949,1,0,513
"Cromwell, New Zealand","Rowley, Harrison Cotton Banks",1949,1,0,516
"Dunedin, New Zealand","Botting, Ian James",1949,0,9,486
"Gore, New Zealand","Orr, Rex William",1949,1,0,509
"Kawakawa, New Zealand","Black, Neville Wyatt",1949,1,10,485
"Mokihunui, New Zealand","Mumm, William John",1949,1,0,507
"Nelson, New Zealand","Savage, Laurence Theodore",1949,3,9,490
"Palmerston North, New Zealand","O'Donnell, Desmond Hillary",1949,1,0,514
"Raetihi, New Zealand","Bryers, Ronald Frederick",1949,1,0,502
"Taumarunui, New Zealand","Conrad, William John McKeown",1949,0,10,498
"Thames, New Zealand","Delamore, Graham Wallace",1949,1,8,493
"Timaru, New Zealand","Goddard, John Wood",1949,0,8,499
"Wanganui, New Zealand","Gudsell, Keith Eric",1949,0,6,500
"Wellington, New Zealand","Moore, Graham John Tarr",1949,1,0,506
"Wellington, New Zealand","O'Callaghan, Thomas Raymond",1949,1,0,508
"New Plymouth, New Zealand","Beatty, George Edward",1950,1,0,517
"Dunfermline, Scotland","Wilson, Alfred Leonard",1951,0,7,530
"Hamilton, New Zealand","Wightman, David Ross",1951,0,4,536
"Hawera, New Zealand","Cockerill, Maurice Stanley",1951,3,8,522
"Naseby, New Zealand","Lynch, Thomas William",1951,3,7,532
"Wellington, New Zealand","Steele, Leo Brian",1951,3,6,529
"Auckland, New Zealand","McLaren, Hugh Campbell",1952,1,0,542
"Auckland, New Zealand","Skeen, Jack Robert",1952,1,0,547
"Carterton, New Zealand","Irvine, Ian Bruce",1952,1,0,541
"Greymouth, New Zealand","Meates, Kevin Francis",1952,2,0,543
"Whangarei, New Zealand","Bowden, Noel James Gordon",1952,1,0,544
"Ashburton, New Zealand","Smith, Ross Mervyn",1955,1,0,565
"Dunedin, New Zealand","Stuart, Kevin Charles",1955,1,0,566
"Mataura, New Zealand","Townsend, Lindsay James",1955,2,0,567
"Okaiawa, New Zealand","Katene, Thomas",1955,1,0,571
"Wanganui, New Zealand","Vodanovich, Ivan Matthew Henry",1955,3,0,568
"Wataroa, New Zealand","Vincent, Patrick Bernard",1956,2,0,576
"Invercargill, New Zealand","Soper, Alistair John",1957,0,8,590
"Taumarunui, New Zealand","Levien, Howard Joseph",1957,0,8,587
"Wellington, New Zealand","Molloy, Brian Peter John",1957,0,5,588
"Mataura, New Zealand","Ashby, Desmond Lloyd",1958,1,0,594
"Mosgiel, New Zealand","Coughlan, Thomas Desmond",1958,1,0,592
"Papakura, New Zealand","Cossey, Raymond Reginald",1958,1,0,591
"Ashburton, New Zealand","McPhail, Bruce Eric",1959,2,0,597
"Cromwell, New Zealand","Finlay, Brian Edward Louis",1959,1,0,596
"Invercargill, New Zealand","Diack, Ernest Sinclair",1959,1,0,602
"Kawakawa, New Zealand","Webb, Desmond Stanley",1959,1,0,605
"Stratford, New Zealand","McCullough, John Francis",1959,3,0,603
"Ashburton, New Zealand","Cameron, Denis Hugh",1960,0,8,614
"Auckland, New Zealand","Nesbit, Steven Roberto",1960,2,11,615
"Blayney, Australia","Graham, Maurice Gordon",1960,0,1,609
"Christchurch, New Zealand","Burry, Hugh Cameron",1960,0,11,607
"New Plymouth, New Zealand","Boon, Roger John",1960,0,6,616
"Nightcaps, New Zealand","Laidlaw, Kevin Francis",1960,3,14,611
"Sydney, Australia","Stapleton, Edgar Thomas",1960,0,1,613
"Whakatane, New Zealand","Anderson, Eric James",1960,0,10,606
"Christchurch, New Zealand","Morrissey, Peter John",1962,3,0,630
"Hamilton, New Zealand","Heeps, Thomas Roderick",1962,5,5,625
"Rotherham, New Zealand","Creighton, John Neville",1962,1,5,624
"Christchurch, New Zealand","Uttley, Ian Neil",1963,2,0,634
"Cromwell, New Zealand","Clark, Donald William",1964,2,0,646
"Hawera, New Zealand","Wills, Murray Clifton",1967,0,5,661
